StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q9,Q10,Q11,Q12,Q13,Q14,Q1,Q2,Q2_3_TEXT,Q3,Q4,nonSevere,severe,Q18,severity
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"I have read the information on the previous page, and have been given the opportunity to email the researchers with any questions","I understand that my personal information will be used for the purposes explained to me. I understand that according to data protection legislation, 'public task' will be the lawful basis for processing:",I understand that all my personal information will remain confidential and that my data gathered in the study will be stored anonymously and securely. It will not be possible to identify me in any publications:,"I understand that my anonymised research data may be shared with, and used by, others for future research. (No-one will be able to identify me when these data are shared).","I understand that I am free to withdraw from the study without penalty if I so wish, simply by closing my browser:",I consent to participate in this research study,Please enter your age,Please indicate your gender - Selected Choice,Please indicate your gender - Prefer to self-describe as - Text,Is English your native language?,Are you fluent in English?,Please provide a number (between 0 – it is impossible – and 100 – it will definitely happen)  to communicate the chance of heavy rainfall to the readers of your newspaper: There is a(n) ________% chance that heavy rainfall will occur,Please provide a number (between 0 – it is impossible – and 100 – it will definitely happen) to communicate the chance of heavy rainfall to the readers of your newspaper: There is a(n)________% chance that heavy rainfall will occur.,Please indicate the year you were born,severity
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_3_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""severity""}"
2022-02-23 16:33:02,2022-02-23 16:34:09,0,100,67,1,2022-02-23 16:34:09,R_1IKJjGjPB7epA3L,anonymous,EN,1,1,1,1,1,1,100,3,test,1,1,,20,2010,2
2022-02-23 16:38:17,2022-02-23 16:39:24,0,100,67,1,2022-02-23 16:39:25,R_1gS0d64LC9XzUio,anonymous,EN,1,1,1,1,1,1,23,2,,1,1,20,,1998,1
2022-02-23 16:39:06,2022-02-23 16:40:07,0,100,60,1,2022-02-23 16:40:07,R_2qelMcRDwBqbpDw,anonymous,EN,1,1,1,1,1,1,33,1,,2,1,60,,1988,1
2022-02-23 16:39:00,2022-02-23 16:41:01,0,100,121,1,2022-02-23 16:41:02,R_2pVM4UWHtGFYlIs,anonymous,EN,1,1,1,1,1,1,40,2,,1,1,,40,1981,2
2022-02-23 16:39:45,2022-02-23 16:41:28,0,100,102,1,2022-02-23 16:41:28,R_Oj2cWwPpj2mona9,anonymous,EN,1,1,1,1,1,1,57,2,,1,1,35,,1964,1
2022-02-23 16:39:22,2022-02-23 16:41:38,0,100,136,1,2022-02-23 16:41:38,R_z6Yc0Rt1cqdg6bv,anonymous,EN,1,1,1,1,1,1,61,2,,1,1,,70,1960,2
2022-02-23 16:39:25,2022-02-23 16:41:42,0,100,137,1,2022-02-23 16:41:43,R_1diyoTYiFlP42uG,anonymous,EN,1,1,1,1,1,1,65,2,,1,1,,50,1957,2
2022-02-23 16:40:09,2022-02-23 16:41:51,0,100,101,1,2022-02-23 16:41:51,R_tLgihNODTDfcaul,anonymous,EN,1,1,1,1,1,1,28,2,,1,1,20,,1994,1
2022-02-23 16:40:41,2022-02-23 16:42:01,0,100,80,1,2022-02-23 16:42:02,R_3lVm0kdAZkfBN0B,anonymous,EN,1,1,1,1,1,1,22,2,,1,1,,15,2000,2
2022-02-23 16:40:31,2022-02-23 16:42:28,0,100,116,1,2022-02-23 16:42:29,R_1DoETz7wyaCZ5zP,anonymous,EN,1,1,1,1,1,1,44,2,,1,1,10,,1977,1
2022-02-23 16:40:38,2022-02-23 16:44:02,0,100,203,1,2022-02-23 16:44:02,R_1rNryB0qD8rtV4K,anonymous,EN,1,1,1,1,1,1,28,1,,1,1,,20,1994,2
2022-02-23 16:53:05,2022-02-23 16:53:56,0,100,50,1,2022-02-23 16:53:56,R_3JegxloxBYNYEau,anonymous,EN,1,1,1,1,1,1,32,2,,1,1,,50,1989,2
2022-02-23 16:52:26,2022-02-23 16:54:12,0,100,105,1,2022-02-23 16:54:12,R_Z7D6IQXB4HxkRoZ,anonymous,EN,1,1,1,1,1,1,34,2,,1,1,10,,1987,1
2022-02-23 16:52:46,2022-02-23 16:54:24,0,100,97,1,2022-02-23 16:54:24,R_25YIgOwiB5bLOJB,anonymous,EN,1,1,1,1,1,1,60,2,,1,1,,25,1961,2
2022-02-23 16:53:15,2022-02-23 16:54:57,0,100,101,1,2022-02-23 16:54:57,R_2xPmpHb8AnMo6RP,anonymous,EN,1,1,1,1,1,1,32,2,,1,1,20,,1989,1
2022-02-23 16:52:50,2022-02-23 16:54:57,0,100,126,1,2022-02-23 16:54:57,R_1QG99LtcQ9TVorf,anonymous,EN,1,1,1,1,1,1,34,1,,1,1,50,,1987,1
2022-02-23 16:53:39,2022-02-23 16:55:16,0,100,97,1,2022-02-23 16:55:16,R_3OkmdNAaaNutuxe,anonymous,EN,1,1,1,1,1,1,77,1,,1,1,20,,1944,1
2022-02-23 16:53:31,2022-02-23 16:55:24,0,100,112,1,2022-02-23 16:55:24,R_29hRsYu7VCvbGE5,anonymous,EN,1,1,1,1,1,1,24,2,,1,1,40,,1997,1
2022-02-23 16:54:32,2022-02-23 16:55:52,0,100,79,1,2022-02-23 16:55:52,R_2P7lMIlUwxAO86A,anonymous,EN,1,1,1,1,1,1,34,2,,1,1,,20,1987,2
2022-02-23 16:53:54,2022-02-23 16:55:59,0,100,124,1,2022-02-23 16:55:59,R_C3RiPLNP2ErHxn3,anonymous,EN,1,1,1,1,1,1,26,2,,1,1,,40,1995,2
2022-02-23 16:55:11,2022-02-23 16:56:02,0,100,51,1,2022-02-23 16:56:03,R_1mz5vjVSKGHxuLy,anonymous,EN,1,1,1,1,1,1,22,2,,2,1,8,,1999,1
2022-02-23 16:54:46,2022-02-23 16:56:18,0,100,91,1,2022-02-23 16:56:18,R_3oXGSMWef9HLux2,anonymous,EN,1,1,1,1,1,1,30,2,,1,1,15,,1991,1
2022-02-23 16:54:23,2022-02-23 16:56:23,0,100,120,1,2022-02-23 16:56:23,R_3JqHTftI8MDVxxS,anonymous,EN,1,1,1,1,1,1,43,2,,1,1,50,,1978,1
2022-02-23 16:54:21,2022-02-23 16:56:24,0,100,122,1,2022-02-23 16:56:24,R_3fITTq0R1w4pjXL,anonymous,EN,1,1,1,1,1,1,63,2,,1,1,,40,1958,2
2022-02-23 16:53:32,2022-02-23 16:56:27,0,100,174,1,2022-02-23 16:56:27,R_3I3PT20buOuCX18,anonymous,EN,1,1,1,1,1,1,36,2,,1,1,50,,1985,1
2022-02-23 16:54:02,2022-02-23 16:56:32,0,100,150,1,2022-02-23 16:56:33,R_1i4KpmBSEcT7zi2,anonymous,EN,1,1,1,1,1,1,25,1,,1,1,10,,1996,1
2022-02-23 16:55:23,2022-02-23 16:56:47,0,100,83,1,2022-02-23 16:56:47,R_291mWpxBYUq2ZuF,anonymous,EN,1,1,1,1,1,1,22,2,,1,1,10,,1999,1
2022-02-23 16:54:45,2022-02-23 16:57:01,0,100,136,1,2022-02-23 16:57:02,R_3Hkbk9MKqQIrr98,anonymous,EN,1,1,1,1,1,1,53,3,a person,1,1,,10,1968,2
2022-02-23 16:54:57,2022-02-23 16:57:13,0,100,136,1,2022-02-23 16:57:14,R_2wLei9WPwbbIAQj,anonymous,EN,1,1,1,1,1,1,32,2,,1,1,,10,1989,2
2022-02-23 16:56:12,2022-02-23 16:57:15,0,100,62,1,2022-02-23 16:57:15,R_3n65510sC2R2u1i,anonymous,EN,1,1,1,1,1,1,21,1,,2,1,,35,2000,2
2022-02-23 16:56:29,2022-02-23 16:57:30,0,100,61,1,2022-02-23 16:57:31,R_3FKzWbNh5VUIATx,anonymous,EN,1,1,1,1,1,1,33,2,,1,1,10,,1988,1
2022-02-23 16:54:01,2022-02-23 16:57:31,0,100,210,1,2022-02-23 16:57:32,R_28V3Tu1PT1Yg31y,anonymous,EN,1,1,1,1,1,1,32,2,,1,1,,20,1990,2
2022-02-23 16:55:37,2022-02-23 16:57:38,0,100,120,1,2022-02-23 16:57:38,R_2WBwqzG9J8M1wJW,anonymous,EN,1,1,1,1,1,1,51,2,,1,1,10,,1970,1
2022-02-23 16:55:46,2022-02-23 16:57:45,0,100,118,1,2022-02-23 16:57:45,R_3syLdi1xQSILE4j,anonymous,EN,1,1,1,1,1,1,19,1,,1,1,,30,2002,2
2022-02-23 16:56:13,2022-02-23 16:57:46,0,100,93,1,2022-02-23 16:57:46,R_2yrW3uWNy8NQPer,anonymous,EN,1,1,1,1,1,1,36,2,,1,1,,10,1985,2
2022-02-23 16:56:13,2022-02-23 16:58:14,0,100,120,1,2022-02-23 16:58:14,R_30xdTIaeJpPffzk,anonymous,EN,1,1,1,1,1,1,32,2,,1,1,25,,1989,1
2022-02-23 16:56:05,2022-02-23 16:58:19,0,100,133,1,2022-02-23 16:58:19,R_3njEKWqcUIYknRr,anonymous,EN,1,1,1,1,1,1,38,2,,2,1,,3,1983,2
2022-02-23 16:55:54,2022-02-23 16:58:26,0,100,151,1,2022-02-23 16:58:26,R_3qOk4dWHmJNBHS6,anonymous,EN,1,1,1,1,1,1,58,2,,1,1,,20,1963,2
2022-02-23 16:57:13,2022-02-23 16:58:27,0,100,74,1,2022-02-23 16:58:27,R_30ubdjP8Ie1TL2c,anonymous,EN,1,1,1,1,1,1,35,1,,1,1,15,,1986,1
2022-02-23 16:55:38,2022-02-23 16:58:33,0,100,175,1,2022-02-23 16:58:34,R_Rxglfl5nKmFO2Wt,anonymous,EN,1,1,1,1,1,1,56,2,,1,1,30,,1965,1
2022-02-23 16:57:08,2022-02-23 16:58:45,0,100,96,1,2022-02-23 16:58:45,R_1ocXPYZxJm9zl4F,anonymous,EN,1,1,1,1,1,1,27,2,,1,1,,25,1994,2
2022-02-23 16:57:23,2022-02-23 16:58:48,0,100,84,1,2022-02-23 16:58:48,R_2fiVru4YN2A0TXY,anonymous,EN,1,1,1,1,1,1,26,2,,1,1,15,,1995,1
2022-02-23 16:56:19,2022-02-23 16:58:48,0,100,148,1,2022-02-23 16:58:48,R_1BVQ846jX8525lp,anonymous,EN,1,1,1,1,1,1,52,1,,1,1,,20,1969,2
2022-02-23 16:56:57,2022-02-23 16:58:49,0,100,112,1,2022-02-23 16:58:49,R_uysN9KanJZXwP3r,anonymous,EN,1,1,1,1,1,1,60,2,,1,1,,80,1961,2
2022-02-23 16:56:51,2022-02-23 16:58:51,0,100,120,1,2022-02-23 16:58:52,R_DSm3WH1uIeByrTP,anonymous,EN,1,1,1,1,1,1,61,2,,1,1,20,,1960,1
2022-02-23 16:56:53,2022-02-23 16:58:55,0,100,122,1,2022-02-23 16:58:55,R_1pQmrxYduQnmOh9,anonymous,EN,1,1,1,1,1,1,52,2,,1,1,,50,1969,2
2022-02-23 16:55:19,2022-02-23 16:58:55,0,100,215,1,2022-02-23 16:58:55,R_wY96vBpGylPiuPv,anonymous,EN,1,1,1,1,1,1,18,2,,1,1,10,,2003,1
