StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6,Q7,Q14,Q15,Q15_3_TEXT,Q16,Q17,severe,nonSev,Q18,severity,c,n
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"I have read the information on the previous page, and have been given the opportunity to email the researchers with any questions","I understand that my personal information will be used for the purposes explained to me. I understand that according to data protection legislation, 'public task' will be the lawful basis for processing:",I understand that all my personal information will remain confidential and that my data gathered in the study will be stored anonymously and securely. It will not be possible to identify me in any publications:,"I understand that my anonymised research data may be shared with, and used by, others for future research. (No-one will be able to identify me when these data are shared).","I understand that I am free to withdraw from the study without penalty if I so wish, simply by closing my browser:",I consent to participate in this research study,Please enter your age,Please indicate your gender - Selected Choice,Please indicate your gender - Prefer to self-describe as - Text,Is English your native language?,Are you fluent in English?,Please provide a number (between 0 – it is impossible – and 100 – it will definitely happen) to communicate the chance of heavy rainfall to the readers of your newspaper: There is a(n) ________% chance that heavy rainfall will occur in Manila,Please provide a number (between 0 – it is impossible – and 100 – it will definitely happen) to communicate the chance of heavy rainfall to the readers of your newspaper: There is a(n) ________% chance that heavy rainfall will occur in Abra Province,Please indicate the year you were born,severity,c,n
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_3_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""severity""}","{""ImportId"":""c""}","{""ImportId"":""n""}"
2022-03-05 15:44:27,2022-03-05 15:46:04,IP Address,100,96,True,2022-03-05 15:46:04,R_3nOYZDtKFPnoagr,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,42,Female,,Yes,Yes,10,,1979,2,very low,
2022-03-05 15:44:49,2022-03-05 15:46:06,IP Address,100,76,True,2022-03-05 15:46:06,R_1IMcuRUt8kdK5yI,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,38,Female,,Yes,Yes,75,,1984,2,very low,
2022-03-05 15:46:08,2022-03-05 15:48:03,IP Address,100,115,True,2022-03-05 15:48:03,R_zbNY5rs7RTSmUBb,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,43,Female,,Yes,Yes,10,,1978,2,very low,
2022-03-05 15:46:08,2022-03-05 15:48:41,IP Address,100,152,True,2022-03-05 15:48:41,R_2Qnbvm2z9Sh89wE,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,20,Female,,Yes,Yes,,5,2001,1,,very low
2022-03-05 15:47:20,2022-03-05 15:49:20,IP Address,100,120,True,2022-03-05 15:49:20,R_3g7VCFQEujmhKpu,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,30,Male,,Yes,Yes,,10,1991,1,,very low
2022-03-05 15:48:57,2022-03-05 15:50:50,IP Address,100,113,True,2022-03-05 15:50:50,R_27BuUM27vD6D45D,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,64,Female,,Yes,Yes,20,,1957,2,very low,
2022-03-05 15:47:37,2022-03-05 15:50:52,IP Address,100,195,True,2022-03-05 15:50:52,R_1IianYjsxkkM2r4,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,69,Female,,Yes,Yes,,5,1952,1,,very low
2022-03-05 15:48:48,2022-03-05 15:51:41,IP Address,100,173,True,2022-03-05 15:51:41,R_2YXsOmV2Vy5yi2a,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,27,Female,,Yes,Yes,,10,1995,1,,very low
2022-03-05 15:45:09,2022-03-05 15:53:44,IP Address,100,514,True,2022-03-05 15:53:44,R_25NnwBBTtVcZPhU,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,53,Female,,Yes,Yes,80,,1968,2,very low,
2022-03-05 15:48:50,2022-03-05 15:54:09,IP Address,100,318,True,2022-03-05 15:54:09,R_3iKbaJaTEAPveU5,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,39,Prefer to self-describe as,female,Yes,Yes,5,,1982,2,very low,
2022-03-05 16:59:36,2022-03-05 17:01:36,IP Address,100,120,True,2022-03-05 17:01:36,R_OiJntHHr0lJer3b,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,27,Female,,Yes,Yes,80,,1994,2,high,
2022-03-05 17:00:47,2022-03-05 17:02:41,IP Address,100,114,True,2022-03-05 17:02:42,R_29idmxhcqSLAz8z,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,41,Female,,No,Yes,,70,1980,1,,high
2022-03-05 17:01:14,2022-03-05 17:02:43,IP Address,100,89,True,2022-03-05 17:02:44,R_SUhzmRLChU4DiVj,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,21,Male,,Yes,Yes,99,,2001,2,high,
2022-03-05 17:01:37,2022-03-05 17:02:46,IP Address,100,69,True,2022-03-05 17:02:47,R_1GWBXZ9MeuRAWo3,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,21,Female,,Yes,Yes,100,,2000,2,high,
2022-03-05 17:01:45,2022-03-05 17:02:47,IP Address,100,61,True,2022-03-05 17:02:47,R_2EvhJwrR7GjK7aF,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,40,Female,,Yes,Yes,,90,1981,1,,high
2022-03-05 17:01:13,2022-03-05 17:03:25,IP Address,100,131,True,2022-03-05 17:03:25,R_31mT7PPA9CHnRS0,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,55,Male,,Yes,Yes,,90,1966,1,,high
2022-03-05 17:02:24,2022-03-05 17:03:26,IP Address,100,62,True,2022-03-05 17:03:27,R_0AgHmHfuhV8rjqh,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,26,Female,,Yes,Yes,,80,1995,1,,high
2022-03-05 17:01:28,2022-03-05 17:04:00,IP Address,100,151,True,2022-03-05 17:04:00,R_2amGoTjCcjmBBek,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,42,Female,,Yes,Yes,95,,1979,2,high,
2022-03-05 17:03:10,2022-03-05 17:04:35,IP Address,100,85,True,2022-03-05 17:04:35,R_Z1AByKA0JfAznY5,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,47,Female,,Yes,Yes,80,,1975,2,high,
2022-03-05 17:02:05,2022-03-05 17:04:50,IP Address,100,165,True,2022-03-05 17:04:50,R_b3EY709sGq8Stkl,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,21,Female,,Yes,Yes,,10,2000,1,,low
2022-03-05 17:03:14,2022-03-05 17:04:58,IP Address,100,104,True,2022-03-05 17:04:58,R_2CJIGOUHujwtRSz,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,32,Female,,Yes,Yes,75,,1989,2,high,
2022-03-05 17:03:32,2022-03-05 17:05:04,IP Address,100,92,True,2022-03-05 17:05:04,R_p6Rr6j5IRTlO7Sx,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,33,Male,,Yes,Yes,,90,1988,1,,high
2022-03-05 17:03:34,2022-03-05 17:05:21,IP Address,100,106,True,2022-03-05 17:05:21,R_1rBwxfRNBPwOhRQ,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,32,Male,,No,Yes,80,,1989,2,high,
2022-03-05 17:04:39,2022-03-05 17:05:43,IP Address,100,63,True,2022-03-05 17:05:43,R_2bVSqWy90ufU1qg,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,29,Female,,Yes,Yes,,10,1992,1,,low
2022-03-05 17:05:15,2022-03-05 17:06:38,IP Address,100,83,True,2022-03-05 17:06:38,R_2zwthZ1Ma2dIIDz,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,34,Female,,Yes,Yes,90,,1988,2,high,
2022-03-05 17:04:59,2022-03-05 17:06:43,IP Address,100,104,True,2022-03-05 17:06:43,R_2ziHED7YtwYbCT0,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,32,Female,,No,Yes,100,,1989,2,high,
2022-03-05 17:05:27,2022-03-05 17:06:54,IP Address,100,87,True,2022-03-05 17:06:55,R_1LO669gS025DYFT,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,23,Female,,Yes,Yes,,80,1998,1,,high
2022-03-05 17:05:19,2022-03-05 17:07:36,IP Address,100,136,True,2022-03-05 17:07:36,R_1ohRWwiczTxjs5g,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,32,Female,,Yes,Yes,,90,1990,1,,low
2022-03-05 17:05:05,2022-03-05 17:07:58,IP Address,100,172,True,2022-03-05 17:07:58,R_2Vy8VsNmvt4rNh7,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,20,Male,,Yes,Yes,65,,2001,2,high,
2022-03-05 16:59:49,2022-03-05 17:08:03,IP Address,100,494,True,2022-03-05 17:08:04,R_248AEmNvdc08qDr,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,21,Female,,Yes,Yes,90,,2000,2,high,
2022-03-05 17:06:11,2022-03-05 17:08:11,IP Address,100,119,True,2022-03-05 17:08:11,R_1I6PTTsbNSQIWIq,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,55,Female,,Yes,Yes,98,,1967,2,high,
2022-03-05 17:07:00,2022-03-05 17:08:38,IP Address,100,98,True,2022-03-05 17:08:38,R_21iFGTXjEBueGcK,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,42,Female,,Yes,Yes,,90,1979,1,,high
